,Unnamed: 0,name,ranked,fw,fd,mw,md
8204,8204,샤인뮤직,8,,"32,400USD ",,"17,802USD "
8205,8205,원퍼트,9,,"339,984USD ","111,618,000원", 
8206,8206,피엔에스보라,10,,"578,302,000JPY ","179,419,000원", 
8207,8207,일기비호,11,,"210,553USD ",,"4,203CAD "
8209,8209,초강국,1,"2,426,805,000원", ,"183,655,000원", 
8210,8210,농부의수채화,3,,"396,254USD ","141,780,000원", 
8211,8211,컴플리트모션,4,,"51,475USD ","112,705,000원", 
8212,8212,한일모아,5,,"1,083,533USD ",,0
8213,8213,포에버럭키,6,,"371,623,500JPY ",,"44,207USD "
8214,8214,금아임패커블,7,,"1,732,000USD ",, 
8215,8215,돌아온셀라,8,,"568,086USD ","137,172,000원", 
8216,8216,클리어스토리,9,,"205,617USD ",,"121,476USD "
8217,8217,금노래,10,,"416,475,000JPY ","242,168,800원", 
8218,8218,다시두손,11,,"583,280USD ","81,895,000원", 
8219,8219,스터닝어게인,12,,"4,374,590USD ",,"222,769USD "
8220,8220,새내스퍼트,1,,"1,732,000USD ",,0
8221,8221,비앙카,2,,"1,810,805USD ",,"1,680USD "
8222,8222,파워프라이드,3,,"339,984USD ","30,795,000원", 
8223,8223,디에코,4,,"3,084,278USD ","72,166,000원", 
8224,8224,챔프퀸,5,"728,298,000원", ,"77,664,000원", 
8225,8225,더비스트,6,,"804,090USD ","231,487,000원", 
8226,8226,천년의고도,7,,"205,617USD ",,761USD 
8227,8227,천총,8,,"480,001USD ",,"5,400USD "
8228,8228,피엔에스로얄,9,"233,137,000원", ,"20,583,000원", 
8229,8229,스피드마운틴,10,,"1,810,805USD ",,"39,760USD "
8230,8230,스카이타임,11,,"695,299USD ","10,500,000원", 
8231,8231,신의축복,12,"1,225,505,000원", ,"45,835,000원", 
8232,8232,룰브레이커,1,,"416,475,000JPY ",,"250,000JPY "
8233,8233,금아제니스,2,,"1,810,805USD ",,"43,100USD "
8234,8234,본능대로,3,,"500,435USD ",,"131,553USD "
8235,8235,우정의향기,4,,"865,612USD ",,0
8236,8236,더검푸,5,,"529,566USD ",,"183,600USD "
8237,8237,서울시대,6,,"492,910USD ",,"33,083USD "
