,name,ranked,fw,fd,mw,md
12719,샴로커,3.0,,"438,949USD ",,"7,200USD "
12720,삼성불패,5.0,,"2,533,910USD ",,"64,840USD "
12721,플라잉뮤닝,6.0,,"742,640USD ",,0USD 
12722,플레이시스투고,7.0,,"1,026,229USD ",,"150,550USD "
12723,원더볼트,8.0,,"171,783USD ",,"216,349USD "
12724,천마,10.0,,"698,574USD ",,"5,859USD "
12725,왕벚꽃,1.0,,"1,694,180USD ",,"376,924USD "
12726,크레이지팩터,2.0,,"922,180USD ",,"109,500AUD "
12727,대박행진,3.0,,"439,250USD ",,"143,791USD "
12728,대군천하,4.0,,"1,878,013USD ",,"29,446USD "
12729,횡운골,6.0,,"339,984USD ","103,000,000원", 
