,Unnamed: 0,순위,마번,중복제거마명,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
144,2,3,10,,장산카우보이,미,거,7세,*52,95,이현종,리카디,♠삼정,½,480(-3),8.8,2.9,"망사, 혀끈"
145,3,4,1,,강토마,한,거,5세,54.5,106,박태종,정호익,♠김광명,목,506(8),8.8,2.9,망사눈
146,4,5,4,,우리,미,수,4세,51,81,김동수,임봉춘,김진태a,¾,502(2),8.8,2.9,"반가지큰, 망사눈"
147,5,6,5,,삼성불패,미,거,6세,52.5,102,조인권,박대흥,♠김병진,6,498(0),8.8,2.9,
148,6,7,3,,위너골드,미,수,5세,59,115,이혁,우창구,♠전영범,1½,483(-2),8.8,2.9,"망사, Triabit"
149,7,8,2,,다이아삭스,미,수,6세,56.5,110,서승운,지용철,♠김창식,½,488(4),8.8,2.9,"계란형큰, 망사"
150,8,9,7,,상감마마,한,거,8세,56,111,(-1)문성혁,박병일,♠이관형,9,445(-6),8.8,2.9,"반가지큰, 눈가면"
151,9,10,6,,클린업특급,한,수,5세,*52,84,임기원,박재우,♠씨유네트워크,코,516(-14),8.8,2.9,반가지큰
152,10,11,8,,클리어검,한,암,4세,*52,82,빅투아르,김순근,♠조창석,10,476(2),8.8,2.9,반가지큰
153,0,1,10,,스피돔,미,거,3세,55.5,60,안토니오,최용구,♠강무웅,,498(-6),9999.9,9999.9,"계란형큰, 망사눈"
154,1,2,8,,마이티뉴,뉴,거,3세,52,54,먼로,서홍수,♠조병태,2,489(6),9999.9,9999.9,망사
155,2,3,4,,파이널스타,미,거,5세,54,57,김덕현,우창구,♠정기환,3,490(-11),9999.9,9999.9,"망사눈, Triabit"
156,3,4,7,,말리부진저,미,거,5세,56,61,박을운,이신영,♠정영식,1¼,488(1),9999.9,9999.9,"망사+,망사눈-"
157,4,5,11,,춘산,미,암,3세,51,51,김용근,전승규,♠이관형,¾,450(3),9999.9,9999.9,"계란형큰, 혀끈"
158,5,6,5,,큐피드미션,미,수,3세,54,57,이혁,서범석,♠서순배,¾,465(2),9999.9,9999.9,
159,6,7,3,,섬싱익스펙트,미,수,3세,52.5,54,김정준,홍대유,정춘복,½,538(-1),9999.9,9999.9,
160,7,8,1,,요리조리,미,암,5세,*52,54,이현종,곽영효,♠황봉기,1½,501(5),9999.9,9999.9,"계란형큰, 망사눈"
161,8,9,6,,금아어누이티,미,거,5세,51.5,52,김동수,박천서,♠금아산업(주),3,462(-14),9999.9,9999.9,"망사눈, Triabit"
162,9,10,2,,글로벌에이스,미,수,3세,*52,51,송재철,최상식,♠장재형,1,526(7),9999.9,9999.9,"혀끈+,계란형큰-"
163,10,11,9,,금자유,미,암,3세,54,60,조인권,박병일,♠배태곤,1½,437(-11),9999.9,9999.9,"계란형큰, 망사눈"
0,0,1,1,,제다이,한,암,2세,52,,문세영,송문길,♠(주)나스카,,477(10),4.4,1.6,망사
1,1,2,9,,바잉블레이드,한,수,2세,53.5,,최범현,강환민,♠김형란,8,481(-13),8.8,3.2,"계란형큰, 망사눈"
2,2,3,11,,좋은사이,한,수,2세,53.5,,하정훈,신삼영,유영준,8,444(0),8.8,3.2,망사
3,3,4,6,,리멤버웬,한,암,3세,54,,조한별,리카디,페가수스,½,480(-6),8.8,3.2,망사
4,4,5,7,,선더호스,한,수,2세,53.5,,조상범,안병기,♠(주)디알엠씨티,1,466(-1),8.8,3.2,망사눈
5,5,6,4,,정문최강,한,수,2세,53.5,,함완식,홍대유,♠김재영b,1¾,492(-3),8.8,1.6,
6,6,7,2,,에피파니,한,수,2세,53.5,,이혁,안병기,♠우태율,¾,484(-9),8.8,3.2,계란형큰+
7,7,8,8,,화이트트레인,한,수,2세,53.5,,이동하,강성오,♠홍종운,¾,486(-5),8.8,3.2,"반가지큰, 망사눈"
8,8,9,3,,서니케이,한,암,3세,53,,송재철,안해양,♠강경운,1¾,457(0),8.8,3.2,망사눈
9,9,10,5,,마하영웅,한,수,3세,55,,김동수,신삼영,장철환,머리,496(5),8.8,3.2,망사+
10,10,,10,,챔피언가문,한,수,2세,53.5,,조인권,박대흥,(주)케이씨피,출전제외,0(0),----,----,망사
11,0,1,11,,티케파이어,한,수,3세,55.5,,문세영,최영주,♠손병현,,503(-4),25.6,3.5,망사눈
12,1,2,4,,파워뮤직,한,암,3세,53.5,,최범현,곽영효,♠이미경,1,460(-2),12.8,1.7,
13,2,3,3,,스루더스카이,한,거,3세,55.5,,(-1)문성혁,박천서,♠김종진,½,493(-3),25.6,1.7,"반가지큰, 망사눈"
14,3,4,8,,러피언파크,한,수,3세,56,,이혁,김동철,♠박종율,3,472(7),1.2,3.5,망사눈
15,4,5,9,,선더윈드,한,수,3세,56,,이동진,리카디,♠조건진,1,529(1),25.6,3.5,
16,5,6,2,,어메이징퀸,한,암,3세,53,,이현종,강환민,♠이성인,3,460(-5),25.6,3.5,망사
17,6,7,1,,신대로,한,수,3세,55,,박태종,김순근,♠박정배,8,454(-26),25.6,3.5,
18,7,8,6,,거버넌스,한,암,3세,53,,김정준,박병일,♠김정철,2,446(-13),25.6,3.5,반가지큰
19,8,9,10,,스프링데이,한,수,3세,55,,송재철,송문길,♠(주)나스카,1½,459(-7),25.6,3.5,
20,9,10,7,,로드힐스톰,한,수,4세,56,,조상범,박윤규,♠(주)자성실업,목,481(4),25.6,3.5,"계란형큰, 망사눈"
21,10,11,5,,미사일감동,한,수,3세,55,,하정훈,김순근,♠이장운,2,464(16),25.6,3.5,반가지큰
22,0,1,9,,빅페이스,한,수,3세,54,29,먼로,박윤규,♠이방훈,,480(1),9.6,3.2,눈가면
23,1,2,11,,고속페달,한,수,3세,54.5,30,김용근,배휴준,명인환,4,508(0),4.8,1.6,"계란형큰, 망사"
24,2,3,7,,글로벌왕자,한,거,4세,53,27,신형철,최상식,♠장재형,3,508(-1),9.6,3.2,"망사+,망사눈-"
25,3,4,5,,클린업트리오,한,거,4세,57,35,안토니오,강성오,♠씨유네트워크,5,504(8),9.6,3.2,계란형큰
26,4,5,6,,천세만세,한,수,4세,53,27,김정준,박희철,신영식,4,514(-2),9.6,3.2,망사눈
27,5,6,2,,호남대로,한,거,4세,52,25,이현종,최영주,말사모,1½,420(-1),9.6,3.2,
28,6,7,1,,그레이킹덤,미,수,3세,54.5,30,김옥성,지용철,♠장석린외1인(신치구),목,505(5),9.6,3.2,
29,7,8,8,,햇빛나,한,수,8세,55.5,32,이강서,유재길,박정열,3,489(0),9.6,3.2,
30,8,9,4,,선샤인특급,한,암,4세,52,28,조한별,이신영,박의주,½,505(1),9.6,3.2,"계란형큰, 망사눈"
31,9,10,10,,윈드리버,한,암,4세,*52,26,이기회,최영주,♠손병현,5,448(1),9.6,3.2,"계란형큰, 망사눈"
32,10,11,3,,라피도볼트,한,거,3세,54,29,송재철,송문길,♠허장원,6,524(4),9.6,3.2,망사
33,0,1,4,,아이스펀치,한,수,3세,54.5,41,문세영,이관호,♠김정철,,473(4),4.5,3,망사눈
34,1,2,3,,루이사,한,암,3세,52,39,이현종,임봉춘,♠김철,5,469(1),4.5,3,망사+
35,2,3,7,,우대륭,한,암,4세,52,39,최시대,안병기,임흥호,6,505(8),4.5,2.7,망사
36,3,4,10,,피오레,한,암,5세,51,44,(-4)김아현,지용철,♠최성룡,1¾,475(-5),49.6,2.7,망사
37,4,5,5,,동작,한,거,4세,52,36,김동수,박재우,♠이긍열,¾,497(1),49.6,3,"반가지큰, 망사눈"
38,5,6,9,,정문볼트,한,수,3세,56.5,45,이혁,홍대유,♠김재영b,목,468(-4),4.5,3,망사눈
39,6,7,8,,스트롱벌처,한,거,4세,55,42,빅투아르,서범석,이성헌,5,461(0),49.6,3,망사눈
40,7,8,1,,재롱이,한,거,6세,52.5,39,(-1)문성혁,서인석,♠강용식,3,475(8),49.6,3,계란형큰
41,8,9,11,,제이콥,한,거,4세,55.5,43,조상범,최상식,♠강석대,2½,499(3),24.8,3,망사
42,9,10,6,,사이먼리치,한,수,6세,52,36,김효정,배휴준,황철연,2½,467(-3),49.6,3,
43,10,11,2,,라이언여제,한,암,3세,*52,37,먼로,서홍수,♠김명식,13,483(-3),4.5,3,
44,0,1,4,,고업,한,암,3세,53,44,이혁,이희영,♠김정성,,547(2),3,1.7,
45,1,2,1,,급행마,한,수,4세,51,36,박태종,최용건,♠박재범,5,462(1),39.2,3.5,"계란형큰+, 망사"
46,2,3,7,,한센바로우즈,한,수,5세,*52,36,이현종,서인석,♠이노쿠마 히로츠구,4,490(13),6.5,3.5,양털코
47,3,4,11,,방탄마,한,암,4세,51,44,(-4)김아현,지용철,김영진,½,469(0),39.2,3.5,망사
48,4,5,9,,정상만세,한,수,6세,54.5,44,송재철,박희철,♠정동진,6,511(14),39.2,3.5,"계란형큰, 망사눈"
49,5,6,3,,빅토리킹,한,거,4세,57,49,김용근,전승규,♠박덕희,머리,442(3),3.6,1.7,"계란형큰, 망사, 혀끈"
50,6,7,5,,백스핀,한,암,4세,*52,40,박을운,이관호,♠이경희,1½,454(4),3.6,3.5,"계란형큰, 망사"
51,7,8,6,,큐피드데이트,한,거,5세,55.5,46,먼로,유재길,♠태립,½,463(8),39.2,3.5,망사눈
