name,ranked,fw,fd,mw,md
칼리오페,8,,"617,310USD ",,"242,086USD "
프로마테우스,9,,"310,542USD ",,0
큐피드플라워,10,,"3,545,062USD ","112,984,000원", 
컨저버티브,11,,"804,090USD ",,0
노벰버모닝,12,,"742,640USD ",,"31,444USD "
갈잎,1,,"1,083,533USD ",,0USD 
풀문오션,2,,"1,083,533USD ","13,617,000원", 
아임해피,3,,"371,623,500JPY ",,800USD 
상감청자,4,,"3,084,278USD ",,"119,723USD "
천하여제,5,,"172,705,000JPY ",,0
스터닝어게인,6,,"4,374,590USD ",,"222,769USD "
유롱플라잉,7,,"51,475USD ",,"94,885USD "
크레이지퀸,8,,"274,382USD ",,0
비엔토퍼스트,9,"728,298,000원", ,"135,040,000원",0
원더풀브라보,10,,"249,760USD ","23,766,000원", 
럭키마이더스,11,,"205,617USD ","115,419,000원", 
미스터터너,1,,"742,640USD ",,"87,822USD "
에버더챔프,2,,"221,265USD ",,"218,237USD "
이글스그리프터,3,,"1,319,481USD ",,"136,041USD "
스칸다,4,,"941,936USD ",,"4,200USD "
런위드골드,5,,"224,684USD ",,"57,070USD "
관악함성,6,,"2,221,630USD ",,"36,328USD "
리틀보이플래시,7,,"405,730USD ",,"18,265USD "
투게더허그,8,,"1,779,012USD ",,"4,217USD "
올포비투비,9,,"1,936,000USD ",,"75,516USD "
바람킹,1,,"315,015USD ","246,497,000원", 
페더라이트,2,,"205,617USD ","186,043,000원", 
더블골드,3,,"480,001USD ","192,055,000원", 
블랙징가,4,,"85,630,000JPY ","27,055,000원", 
상비군,5,,"315,015USD ",,"92,814USD "
로열탱크,6,,"3,187,232USD ",,"79,652USD "
창성강자,7,,"3,545,062USD ",,"45,835USD "
영웅불패,8,,"1,267,273USD ",,"47,249USD "
선키스드,9,,"493,755USD ",,"18,426USD "
골드스타힐스,10,,"107,515USD ","15,449,000원",0
급행마,1,,"1,810,805USD ",,"39,894CAD "
슬링스톤,2,,"163,133USD ","183,655,000원", 
최고비상,3,,"617,310USD ",,"31,420,000JPY "
라온돌풍,4,,"12,891,734USD ",,"417,736USD "
골드스탁,5,,"3,084,278USD ","166,656,000원", 
더블에이,6,,"695,299USD ",,"340,836USD "
자진모리,7,,"1,732,000USD ",,0
금아제니스,1,,"1,810,805USD ",,"43,100USD "
해들뫼,2,,"416,475,000JPY ",,"42,652USD "
레이먼드,3,,"315,015USD ",,"7,400USD "
태풍아이즈,4,,"1,732,000USD ","113,299,000원", 
환상의빛,5,,"396,254USD ","100,111,000원", 
풀문스카이,6,,"140,172USD ",,"4,680USD "
메가시티,7,,"107,515USD ","132,716,000원", 
금빛환향,8,"1,861,967,000원", ,"84,526,000원", 
레베카,9,,"493,755USD ",,"40,860USD "
기동대장,1,,"416,475,000JPY ",,"1,870USD "
비평,2,,"51,475USD ",,"73,752USD "
베스트빅토리,3,,"85,630,000JPY ","138,880,000원", 
두손왕자,4,,"3,084,278USD ","17,803,000원", 
행복스타,5,,"456,410USD ","75,012,000원", 
초오롱마,6,,"662,000USD ",,"21,569USD "
불사불패,7,,"3,545,062USD ","75,612,000원","7,700AUD "
더지존,8,,"439,250USD ",,"112,786USD "
주먹도끼,9,,"1,007,708USD ",,"1,605USD "
스마티지프,10,,"3,084,278USD ","234,663,000원", 
개나리송,11,,"274,382USD ",,"38,831USD "
클린플라워,12,,"3,084,278USD ",,0
카일라스댄서,1,,"725,296USD ",,"3,446USD "
슈퍼트릭,2,,"3,122,708USD ",,"31,605USD "
데블맨,3,,"7,712,841USD ",,"11,300,000JPY "
어울더울,4,,"1,037,810USD ",,"1,780USD "
마이티존,5,,"1,779,012USD ",,"35,670USD "
원게이트,6,,"1,779,012USD ",,"23,252USD "
웰빙스토리,7,,"480,001USD ","218,232,000원", 
스카이시티,8,,"621,498USD ","143,741,000원", 
슈퍼도끼,9,,"8,387,500USD ",,"52,156USD "
스마일메모리,10,,"1,606,000USD ",,0AUD 
더킹,1,,"158,713AUD ","202,949,000원", 
예상백승,2,,"396,254USD ","77,332,000원", 
스트롱샤인,3,,"360,010USD ",,0
러블리누트,4,,"1,732,000USD ","716,613,000원","1,780USD "
초원의찬가,5,,"1,610,604USD ","336,938,000원", 
소박한인생,6,,"568,629,000JPY ",,0
천리,7,,"568,086USD ",,"54,158USD "
손오공,8,,"907,470USD ","98,521,000원", 
대완마,1,,"51,475USD ",,"80,303USD "
원더풀플라이,2,,"254,672USD ","28,230,000원", 
가온포스,3,,"51,475USD ","408,630,000원", 
명품축제,4,,"172,705,000JPY ","420,130,000원", 
원더풀이블,5,,"254,672USD ",,"3,065,000JPY "
원더풀트루스,6,,"416,475,000JPY ","296,100,000원", 
업라이트,7,,"1,570,380USD ","123,912,000원", 
룰즈이천,8,,"3,084,278USD ","258,854,000원", 
킹엔아이,9,"1,861,967,000원", ,,"34,400USD "
라온제임스,10,,"416,475,000JPY ",, 
문학치프,1,,"1,634,200USD ",,"95,940USD "
샴로커,2,,"438,949USD ",,"7,200USD "
천마,3,,"698,574USD ",,"5,859USD "
금투사,4,,"163,133USD ","174,340,000원", 
큐피드파워,5,,"795,071USD ",,0
원더볼트,6,,"171,783USD ",,"216,349USD "
스트롱로드,7,,"548,595USD ",,"31,669USD "
테마등극,8,,"1,732,000USD ","232,483,000원", 
청담대로,9,,"638,822USD ",,"1,900USD "
태후의날개,1,,"278,406USD ",, 
브이칸,2,,"185,213USD ",,0
컴플리트스윕,3,,"274,382USD ","29,100,000원", 
역전의우승,4,,"583,280USD ",,"28,405USD "
서클댄서,5,,"835,142USD ","114,172,000원", 
짜릿,6,,"794,855USD ",,"61,839USD "
울트라펀치,7,,"742,640USD ",,420USD 
스피릿오브한센,8,,"1,810,805USD ",,"3,840USD "
스타캣,9,,"568,086USD ","330,540,000원", 
샤크런,10,,"3,728,170USD ",,0
켄터키연인,11,,"662,000USD ",,0
킬리의여왕,12,,"251,090USD ",,0
제마특급,1,,"172,705,000JPY ","183,810,000원", 
솔리드,2,,"1,503,825USD ","697,416,000원", 
지오바나,3,,"51,475USD ","9,426,000원", 
신부,4,,"339,984USD ",,0
블루밴드,5,,"1,503,825USD ",,0
컬러즈드라고,6,,"51,475USD ",,0
사이먼퀸,7,,"274,382USD ","226,930,000원", 
솔개바람,8,,"494,895,000JPY ","163,560,000원", 
함양상림,9,,"51,475USD ","147,579,000원", 
과천의별,10,,"568,629,000JPY ","55,652,000원", 
퀸스트리트,11,,"568,629,000JPY ","5,608,000원", 
파크데이,12,,"1,503,825USD ",,"54,248USD "
라온케빈,1,,"1,810,805USD ","109,032,000원", 
파티파워,2,,"51,814,000JPY ",,"8,278USD "
브라운로즈,3,,"1,810,805USD ","413,351,000원", 
드래곤보트,4,,"491,312USD ","58,220,000원", 
옥드림,5,,"804,090USD ","73,023,000원", 
