,자식마명,부마원,부마달러,모마원,모마달러
87,['금성패션'],,"583,280USD ","21,156,000원","16,030USD "
88,['사려니'],,"1,810,805USD ",,"1,200USD "
89,['스카이망치'],,"633,076USD ",,"127,760USD "
90,['원더풀데블'],,"416,475,000JPY ",0원, 
91,['최강퀸'],,"1,037,810USD ","224,317,000원", 
92,['스마트오피서'],,"804,090USD ",,0 
93,['원더풀화성'],,"254,672USD ",,"40,470USD "
94,['원더풀타이쿤'],,"905,434USD ",,"3,000,000JPY "
95,['최강블레이드'],,"1,380,200USD ",, 
96,['티즈에너지'],,"529,566USD ",, 
97,['부케팔로스'],"2,426,805,000원", ,"305,585,000원", 
98,['루미너스퀸'],,"274,382USD ",, 
99,['티케이플렉스'],,"1,779,012USD ","48,500,000원", 
100,['원더풀하와이'],,"905,434USD ","278,587,000원", 
101,['온천하'],,"1,103,496USD ","29,100,000원", 
102,['제로백파이브'],,"339,984USD ","103,000,000원", 
103,['동행'],,"101,633USD ",,"4,100USD "
104,['레전드부어스'],,"1,103,496USD ",,0 
105,['인빅터스'],,"669,260USD ",,0 
106,['빅에너지'],,"1,037,810USD ",,"8,014USD "
107,['베스트슈퍼'],,"114,300USD ","30,795,000원", 
108,['스텔라로드'],,"1,810,805USD ","149,600,000원", 
109,['아쿠아펀치'],,"1,570,380USD ","584,819,000원", 
110,['스마트하이'],,"7,613,155USD ",,"96,189USD "
111,['남산열매'],,"554,146USD ",,"68,276USD "
112,['최강장산'],,"583,280USD ","1,172,123,000원", 
113,['중추부사'],,"51,475USD ","39,555,000원", 
114,['소베라니아'],,"1,810,805USD ","143,647,000원", 
115,['쇠와꽃'],,"583,280USD ","84,660,000원", 
116,['매직그라운드'],,"254,672USD ",,"19,600USD "
117,['비바소모'],"1,220,375,000원", ,"155,200,000원", 
118,['그레이트선더'],,"1,083,533USD ","1,500,000원", 
119,['기적의힘'],,"1,779,012USD ","50,583,000원", 
120,['매직조이'],"824,725,000원", ,"29,550,000원", 
121,['송암레이서'],,"3,187,232USD ","25,364,000원", 
122,['디스챌린지'],,"454,183USD ",,"124,372USD "
123,['큐피드딕션'],,"2,879,612USD ",,"42,036USD "
124,['노던타임'],,"454,183USD ",,0 
125,['케이엔파크'],,"1,037,810USD ",,"11,950USD "
126,['애플민트'],,"51,475USD ",,"226,990USD "
127,['럭키선더'],,"114,300USD ",,0 
128,['모던타임즈'],,"51,475USD ",,"155,593USD "
