자식마명,부마원,부마달러,모마원,모마달러
블랙와일드,,"1,810,805USD ","306,870,000원", 
콘도르여왕,,"254,672USD ",,0
파크윈,,"612,935USD ","158,865,000원", 
시크릿선더,,"114,300USD ",,"1,943GBP "
고고고,,"51,475USD ","54,978,000원", 
옥추마,,"804,090USD ",,"16,046USD "
진또배기,,"254,672USD ","215,440,000원", 
해피데이,,"254,672USD ",,"4,542USD "
빅토리카,,"1,779,012USD ","508,055,000원", 
에이스프린스,"410,030,000원", ,"189,800,000원", 
올드스페셜,,"583,280USD ","168,516,000원", 
럭키전사,,"1,586,550USD ",,"156,020USD "
바잉블레이드,,"1,037,810USD ",,"175,695USD "
유정챔프,,"339,984USD ","9,200,000원", 
컬러즈온리,,"51,475USD ","1,728,000원", 
질풍백광,"817,614,000원", ,, 
청담플라잉,,"51,475USD ",,0
문학문,,"794,855USD ",,"2,270USD "
마이티칩,,"1,065,147USD ",, 
두손멍군,,"134,035USD ",,"2,460USD "
베링맨,,"748,000USD ",,"183,760USD "
선더타임,,"734,254USD ",,"8,290USD "
쏜살,,"251,090USD ",,"7,166USD "
폭스파워,,"1,810,805USD ","99,278,000원", 
치프인디,,"1,103,496USD ",,"123,939CAD "
아담스애플,,"1,810,805USD ",,500USD 
정문최강,,"583,280USD ",,0
럭셔리돌풍,,"1,857,000USD ",,"182,818USD "
화이트트레인,,"583,280USD ","81,190,000원", 
매드블레이드,,"1,037,810USD ","84,100,000원", 
구름타고,,"1,083,533USD ","197,757,000원", 
발베니,,"3,924,648USD ",,"139,300USD "
시리우스에이,,"33,840USD ",,"2,240USD "
내생애최고,,"444,717USD ",,"51,555USD "
스프링꿈,,"2,170,340USD ",, 
선더챔피언,,"114,300USD ","19,476,000원", 
페더럴스트롱,,"172,705,000JPY ","165,409,000원", 
초토마,,"4,368,214USD ",,"4,100USD "
화이트참,,"1,037,810USD ","115,705,000원", 
청담위키드,,"1,732,000USD ",,"86,220USD "
센아이,,"1,103,496USD ","302,850,000원", 
매직의함성,,"612,935USD ","119,900,000원", 
우소륭,,"1,037,810USD ",,"1,680USD "
라온비트,,"1,236,820USD ","184,260,000원", 
엘리트룰즈,,"3,084,278USD ",,"2,340USD "
명마타임,,"1,570,380USD ","121,222,000원", 
플라잉스티드,,"51,475USD ",,"35,950USD "
최강토마,,"416,475,000JPY ",, 
천존,,"254,672USD ",,0
세이브더월드,,"1,732,000USD ","73,410,000원", 
블루파워,"471,819,000원", ,"132,069,000원", 
터치스타맨,,"416,475,000JPY ","1,178,155,000원", 
영천질주,,"1,570,380USD ",,"41,927USD "
닥터카슨,,"1,810,805USD ",,"33,420USD "
영광의파티,,"804,090USD ","41,092,000원", 
스타오름,,"1,732,000USD ",,"305,085USD "
해피삭스,,"254,672USD ",,"120,917USD "
미르캡틴,,"568,629,000JPY ",0원, 
루비콘,,"669,260USD ",,"6,361USD "
울트라킹,,"1,103,496USD ","114,172,000원", 
명진캠프,,"339,984USD ","64,155,000원", 
라온더삭스,,"1,103,496USD ",, 
큐피드원더,,"1,083,533USD ","181,674,000원", 
베스트마루,,"3,000USD ","167,687,000원",0
바이킹조이,,"1,607,774USD ","34,927,000원", 
디데이플라이,,"339,984USD ","162,277,000원", 
새로운파티,,"210,553USD ","646,673,000원", 
한센프리마,,"1,810,805USD ","107,531,000원", 
디바인플라이,,"480,001USD ",0원, 
조이머니,,"1,236,820USD ","971,650,000원", 
몬스터케이,,"516,977USD ",,"63,610USD "
애니멀위너,,"8,387,500USD ",,"171,778USD "
럭키재산,,"1,810,805USD ","76,860,000원", 
그레이캣,,"1,037,810USD ",,"20,390USD "
페더럴윈,,"172,705,000JPY ",,"300,000JPY "
명진캔디,,"944,900USD ",,"88,825USD "
큰박수,,"210,553USD ","84,526,000원", 
블루비치,,"583,280USD ",,"187,819USD "
온리위너,,"583,280USD ","202,949,000원", 
리멤버웬,,"1,570,380USD ",,0
로렐챔프,,"1,177,394USD ",,"54,875USD "
천군,,"3,044,000USD ",,280USD 
킹덤스톰,,"978,960USD ",,"140,675USD "
더퀸저스티스,,"1,732,000USD ","126,511,000원", 
서에번쩍,,"905,434USD ",,"60,638USD "
새내윈,,"583,280USD ",,0
케이프렌지,,"1,732,000USD ",,"55,600USD "
스톰워리어,,"1,779,012USD ",,"144,858USD "
나도야금,,"480,001USD ","337,208,000원", 
장산엔진,,"1,503,825USD ","176,790,000원", 
좋은걸,,"58,610USD ","157,930,000원", 
스타블레이드,,"804,090USD ","139,291,000원", 
금아스위프트,,"1,037,810USD ",,"24,870USD "
페더럴아이,,"172,705,000JPY ",,"510,000JPY "
블랙카,,"493,755USD ","224,917,500원", 
콜조이,,"1,779,012USD ","139,860,000원", 
소중한기억,,"3,245,370USD ",,0
밀레니엄파워,,"339,984USD ","199,464,000원", 
럭키스카이,,"251,090USD ",,"28,322USD "
더블블랙,,"583,280USD ","146,135,000원", 
스팟플래터,,"1,037,810USD ",, 
정문스타,,"583,280USD ",,"128,210USD "
대산특급,,"1,779,012USD ","32,936,000원", 
깡돌이,,"1,810,805USD ",,"12,320USD "
로열로드,,"835,140USD ","4,500,000원", 
어디가나,"603,215,000원", ,,0
논스톱골드,,"1,810,805USD ",,0
라스트보스,,"1,103,496USD ","44,398,500원", 
문학백투백,,"794,855USD ",, 
우주대왕,,"456,410USD ",,"10,960CAD "
선양천리,,"1,304,800USD ",,"15,551USD "
맥스런,,"794,855USD ",,"141,946USD "
러블리케이,,"562,000USD ",,"23,770USD "
두손장군,,"725,296USD ",,"32,214USD "
남산의별,,"941,936USD ",,"126,794USD "
르포브,,"380,486USD ",, 
최강영천,,"1,037,810USD ",,"62,433USD "
엠제이스톰,,"1,732,000USD ","396,150,000원", 
런던스피드,,"1,779,012USD ","72,166,000원", 
누비고,,"416,475,000JPY ","270,345,000원", 
청산강호,,"1,732,000USD ",,0
정문폭주,,"1,083,533USD ","113,960,000원", 
남산드림,,"3,645,383USD ",,0
럭키밸리,,"905,434USD ","63,956,000원", 
찐이야,,"396,254USD ","93,052,000원", 
라온울프,,"1,236,820USD ",,640USD 
리얼콩코드,,"669,260USD ",,"180,395USD "
조이풀케이,,"1,503,825USD ",,"62,422USD "
대지의여걸,,"416,475,000JPY ","97,562,000원", 
온이글몬스터,,"3,000USD ","45,540,000원", 
미사일아큐,,"480,001USD ",,"11,852USD "
언패럴렐드,,"339,984USD ","75,398,000원", 
레드파인,,"491,312USD ","46,740,000원",0
마하영웅,"1,861,967,000원", ,"252,629,000원", 
선더킹,,"114,300USD ",,"13,526USD "
톱데이,,"1,810,805USD ","723,912,000원", 
대한질주,,"978,960USD ",,"76,130USD "
스테디챔피언,,"254,672USD ","108,260,000원", 
비엔토,,"1,810,805USD ",,"120,470USD "
특급여왕,,"568,086USD ","166,330,000원", 
엄청난걸,,"101,633USD ","66,230,000원", 
천탑,,"1,732,000USD ","33,270,000원", 
대천얼짱,,"491,312USD ","46,740,000원",0
선더챔프,"180,943,000원", ,0원, 
통천대로,,"491,312USD ",,"135,412USD "
유로아이,,"617,310USD ","140,950,000원", 
원더풀러커스,,"416,475,000JPY ",,"94,563CAD "
논스톱기상,,"1,103,496USD ","127,460,000원", 
위닝질주,,"416,475,000JPY ","52,734,000원", 
패밀리스타,,"3,000USD ","36,850,000원", 
그랜드캐슬,,"583,280USD ",0원, 
명진데이,,"1,083,533USD ",,"117,578USD "
케이엔라이트,,"416,475,000JPY ","87,760,000원", 
엘리트파워,,"583,280USD ","156,911,000원", 
이스트매직,,"339,984USD ","182,976,000원", 
온포인트,,"996,330USD ",,"8,177USD "
어서와,,"1,037,810USD ",,0
아이언로즈,,"1,083,533USD ","668,010,000원", 
차밍붐,,"626,476USD ",,"101,478USD "
빅레드,,"3,084,278USD ",,0
선봉골드,,"480,001USD ","129,528,000원", 
세명나래,,"1,810,805USD ","26,945,000원", 
테이크하트,,"1,103,496USD ",,"159,951USD "
배다리장군,,"1,103,496USD ","110,623,000원", 
상승행진,,"1,083,533USD ",0원, 
브라보메이,,"568,629,000JPY ",,0
뉴호프,,"254,672USD ",,"38,876USD "
판타지퀸,,"1,083,533USD ",,"159,877USD "
케이블레이드,,"962,237USD ",,0
도원글로리,,"1,236,820USD ","109,495,000원", 
세명엠파이어,,"2,075,791USD ",,0
문학포리스트,,"339,984USD ","248,970,000원",0
울돌목영웅,,"612,935USD ","88,402,000원", 
문학럭키,,"3,312,950USD ",,"56,530USD "
바이킹스톰,,"1,046,381USD ",, 
플라잉카라,,"1,967,099USD ",,0
불화산,,"1,810,805USD ",,0
블랙루키,,"583,280USD ",,"18,828USD "
소중한당신,,"326,400USD ",,"32,380USD "
미스스피드,,"1,083,533USD ","77,120,000원", 
파워빅씨,,"3,084,278USD ",,0
화이트윙,,"669,260USD ",, 
골드스파이크,,"254,672USD ","363,840,000원", 
텔로스,,"339,984USD ","421,378,000원", 
보라퀸,,"1,083,533USD ","19,584,000원", 
케이엔메니퀸,,"1,732,000USD ",,"117,800USD "
미스캠프,,"339,984USD ","89,915,000원", 
금세다,,"416,475,000JPY ","69,900,000원", 
다모아트리플,,"339,984USD ",,"131,070USD "
럭셔리킹,,"568,629,000JPY ","112,068,000원", 
모닝뉴스,,"172,705,000JPY ","54,392,000원", 
국향,,"339,984USD ",,"50,586USD "
아이스스타,,"1,083,533USD ",, 
거센파워,,"1,103,496USD ",,"35,233USD "
야스,,"1,570,380USD ","86,474,000원", 
바이킹하트,,"1,037,810USD ",,0
고속대박,,"835,140USD ",,"62,426USD "
나하프린세스,,"1,037,810USD ",,"30,255USD "
천체,,"583,280USD ","74,582,000원", 
아침기상,,"51,475USD ",,"201,353USD "
동에번쩍,,"905,434USD ",,0
백랑,,"669,260USD ",,"41,514USD "
스포트라이트,,"1,103,496USD ","92,242,000원", 
드림럭키,,"669,260USD ","129,334,000원", 
파이팅대디,,"669,260USD ",,"38,063USD "
록파이터,,"1,570,380USD ","7,480,000원", 
블랙인디,,"1,103,496USD ",,"130,602USD "
플렉스퀸,,"1,037,810USD ","250,660,000원", 
아침함성,,"1,083,533USD ","210,222,000원", 
세명캡틴,,"254,672USD ","4,910,000원", 
머니강자,,"3,187,232USD ","118,005,000원", 
트리운포,,"1,732,000USD ","209,197,000원", 
피케이로드,,"1,732,780USD ",,0
패션드패션,,"583,280USD ",,"76,672USD "
미스양호,,"1,103,496USD ",,"46,426USD "
대세만세,,"1,103,496USD ","230,053,000원", 
드림맥스,,"51,475USD ",0원,0
달의기적,,"583,280USD ",,"270,360USD "
봄꽃,"1,087,822,000원", ,"37,235,000원", 
거센질풍,,"1,810,805USD ",,"90,330USD "
클라우터,,"1,083,533USD ","51,491,000원", 
장산미사일,,"3,924,648USD ",,"32,065USD "
유니콘브라보,,"562,000USD ",,"23,070USD "
럭키영,,"2,283,402USD ",,0
와이헤케천사,,"4,540,908USD ",, 
청춘비바,,"1,104,040USD ",, 
유니콘알파,,"972,632USD ",,0
엠제이퀸,,"1,103,496USD ","39,446,000원", 
서브에이스,,"254,672USD ",,0
베가킹,,"396,254USD ","1,130,000원", 
블루카이저,,"1,037,810USD ",,"25,310USD "
슈프림위너,,"835,140USD ",,"73,672USD "
마하조던,,"1,810,805USD ",,"11,966USD "
위닝메이커,,"172,705,000JPY ","60,693,000원", 
인디라이트,,"1,103,496USD ",,"52,009USD "
천지운행,,"669,260USD ","122,223,000원", 
쇼미더선더,,"669,260USD ",,0
마하지존,"409,030,000원", ,"65,315,000원", 
에이원퀸,,"804,090USD ","35,235,000원", 
카우보이탱고,,"1,037,810USD ","358,828,000원", 
러닝넘버원,,"1,103,496USD ",,"78,976USD "
달빛타고,,"1,037,810USD ","183,655,000원", 
댄싱위드유,,"1,810,805USD ",,"14,925USD "
런히어로,,"568,629,000JPY ",,0
명진볼트,,"494,895,000JPY ",,"129,424USD "
히어로스피드,,"1,779,012USD ",,"32,585USD "
스마트파워,,"3,084,278USD ","122,395,000원", 
텐스타,,"1,570,380USD ","217,833,000원", 
위닝투게더,,"1,779,012USD ",,"68,760USD "
마에스트로,,"1,779,012USD ",,"240,722USD "
다울퀸,,"51,475USD ",,0
나우퀸,,"1,064,727USD ",,"35,233USD "
쿨프린세스,,"583,280USD ",,"36,875USD "
시시뮤직,,"1,607,774USD ",,0
로열더스틴,,"941,936USD ",, 
터프맨,,"1,103,496USD ",,"9,490USD "
룰즈클래스,,"3,084,278USD ",,"79,305USD "
라온더최강,,"1,779,012USD ","182,764,000원", 
리드보컬,,"1,037,810USD ","219,712,000원", 
대완구,,"3,084,278USD ",,"65,375USD "
로큰롤타임,,"1,570,380USD ","17,500,000원", 
댄스머신,,"1,083,533USD ",,"7,715USD "
천둥세자,,"389,141USD ",,"109,202USD "
스마트핑크,,"339,984USD ",, 
기타리스트,,"51,475USD ","52,400,000원", 
옥동공주,,"224,684USD ",,"94,303USD "
메디치스토리,,"1,026,229USD ",, 
런던액티브,,"1,779,012USD ","69,300,000원", 
케이엔매직,,"185,213USD ",,"58,200USD "
라온가람,,"1,236,820USD ",,"184,563USD "
파워돌풍,,"254,672USD ",,"53,849USD "
더파이팅,,"1,779,012USD ",,0
찬란한날,,"905,434USD ",,"104,085USD "
글로벌천사,,"1,732,000USD ","41,756,000원", 
크레이지선,,"3,084,278USD ","278,352,000원", 
초인스파크,,"1,037,810USD ",,"44,320USD "
달리미,,"249,760USD ","41,162,000원", 
스타워즈,,"416,475,000JPY ",,0
라온샹젤리,,"1,236,820USD ",,"7,000,000JPY "
보디가드,,"3,545,062USD ","190,561,000원", 
레드백,,"3,084,278USD ",,0
라온핑크,,"1,236,820USD ",,"149,633USD "
드림펠라,,"1,103,496USD ","101,000,000원", 
파이어로드,,"835,140USD ",,"26,846USD "
금국화,,"1,037,810USD ","292,350,000원", 
히트에이스,,"1,732,000USD ","147,765,000원", 
운륭풍호,,"1,083,533USD ","198,100,000원", 
전우사대,,"254,672USD ","57,315,000원", 
라온더파이터,,"4,454,930USD ",,"94,117USD "
하이하이,,"2,170,340USD ",,"70,611USD "
엠제이베스트,,"1,037,810USD ","238,350,000원", 
러닝킹,"1,087,822,000원", ,"85,580,000원", 
탑퀄리티,,"612,935USD ",,"34,878USD "
그레이트한센,,"1,810,805USD ",,0
승리여전사,,"583,280USD ",,"3,498USD "
그랜드스타,,"389,141USD ","36,850,000원", 
아킬리온,,"254,672USD ",,350USD 
마스터선샤인,,"163,133USD ","40,825,000원", 
퀸오브블루,,"3,044,000USD ",,"77,511USD "
히든돌풍,,"582,960USD ",, 
스피디루키,,"1,889,766USD ",,"20,725USD "
타라타라타라,,"4,454,930USD ",,"150,165USD "
플라잉팰리스,,"1,586,550USD ",,"8,525USD "
런던퀸,,"617,310USD ","158,084,000원", 
스카이퓨처,,"748,000USD ",,"168,798USD "
일향달마,,"1,779,012USD ",,"17,698USD "
특권,,"1,779,012USD ",,"90,176USD "
아치여걸,,"922,180USD ",,"30,540USD "
글로리칸,"2,426,805,000원", ,,"77,581USD "
토루크막토,,"1,083,533USD ","34,500,000원", 
정문지존,,"274,382USD ",,"38,831USD "
황금달빛,,"51,475USD ","156,730,000원", 
원더풀금성,,"254,672USD ",,"47,673USD "
킹스맨,,"339,984USD ",,"10,280USD "
시크릿보스,,"1,423,379USD ",,"38,471USD "
머니가락,"817,614,000원", ,"13,500,000원", 
글로벌신화,,"3,090,101USD ",,"283,267USD "
럭키훈,,"1,455,560USD ",,"83,030USD "
마이티팝,,"1,889,766USD ",,"7,198USD "
메디치퀸,,"1,606,000USD ",, 
이스트포인트,,0AUD ,, 
그린질주,,"3,645,383USD ",,"60,020USD "
천구클래스,,"2,983,350USD ",,"1,155EUR "
배다리질주,,"2,983,350USD ",,"36,889USD "
구억마알,,"804,090USD ","44,154,000원", 
홀리데이참,,"1,083,533USD ",,"24,581USD "
아델나래,,"1,037,810USD ","58,800,000원", 
거센돌풍,,"1,103,496USD ",,"117,695USD "
동서여걸,,"1,037,810USD ","213,750,000원", 
후이넘,,"389,141USD ",,"46,460USD "
해피드림,,"1,732,000USD ","46,200,000원", 
라게르타,,"254,672USD ",,0
컴플리트챔프,,"254,672USD ",,"46,346USD "
찬기참,,"1,570,380USD ","206,403,000원", 
호크퀸,,"1,610,604USD ","137,559,000원", 
쏘아라가즈,,"51,475USD ","323,250,000원", 
백제의미소,,"804,090USD ","139,032,000원", 
마이티후,,"1,304,800USD ",,"240,995USD "
사랑다모아,,"221,265USD ",,"119,872USD "
태양타고,,"612,935USD ","485,085,000원", 
위너킹,,"1,380,200USD ",,375USD 
보리보리,,"172,705,000JPY ","124,300,000원",0
마이리더,,"1,083,533USD ","116,080,000원", 
화이트마운틴,,"695,299USD ","34,620,000원", 
원더풀케이,,"905,434USD ","113,350,000원", 
장산가드,,"51,475USD ",,"160,835USD "
햇살타고,,"1,103,496USD ",,"46,952USD "
은혜충만,,"274,382USD ",,"89,913USD "
럭키바우,,"491,312USD ","75,240,000원", 
빅포켓,,"978,960USD ",,"8,981CAD "
모던베스트,,"389,141USD ","40,650,000원", 
컨트리로드,,"612,935USD ",,"31,270USD "
마하시대,,"1,083,533USD ","1,170,104,000원", 
컴플리트스타,,"339,984USD ","189,805,000원", 
영앤리치,,"905,434USD ","93,150,000원", 
멜로디퀸,,"51,475USD ",,"73,752USD "
삼부다이아,,"1,083,533USD ",,"101,731USD "
이스트트로스,,"669,260USD ",0원, 
캐치참,,"1,810,805USD ",,"17,838USD "
스피어건,,"2,170,340USD ",,"18,374USD "
로스트워,,"2,170,340USD ",,"243,390USD "
슈퍼제나이,,"1,037,810USD ",,"69,260USD "
와일들리로맨틱,,"4,454,930USD ",, 
엠제이포인트,,"480,150USD ",,0
당찬세력,,"444,717USD ",,"81,114USD "
도깨비,,"1,586,550USD ",, 
유아넘버텐,,"727,290USD ",, 
로열태리,,"1,304,800USD ",,"16,350,000JPY "
컴플리트찬스,,"1,006,415USD ",, 
리치모어리치,,0AUD ,, 
로맨스참,,"582,920USD ",,"432,432USD "
마성천하,,"1,103,496USD ","17,803,000원", 
제이이글,,"3,084,278USD ",,0
비바레이디,,"1,103,496USD ",,"88,898USD "
젤로스,,"480,001USD ",,"124,453USD "
논스톱캣,,"1,236,820USD ","139,414,000원", 
위너이즈웰,,"410,376,000JPY ",,"7,900,000JPY "
멋진가이,,"568,086USD ","140,481,000원", 
명진브레이싱,,"1,732,000USD ",,"16,685USD "
케이엔스타,,"583,280USD ",,"93,290USD "
럭키어필,,"2,421,351USD ",,"132,774USD "
로열천지,,"493,755USD ",,0NZD 
무적장산,,"905,434USD ","105,401,000원", 
금성세계,,"51,475USD ","266,742,000원", 
벌말대장,,"1,779,012USD ",,"19,245USD "
스피드가이,,"583,280USD ",,"389,618USD "
스마티트렘,"603,215,000원", ,,"29,241USD "
골드케이,,"583,280USD ","24,249,000원", 
다울사랑,,"905,434USD ",,0
프린세스삭스,,"444,717USD ",,0
천비성,,"3,084,278USD ","108,486,000원", 
모닝플래시,"2,426,805,000원", ,"19,450,000원", 
블랙머스크,,"3,645,383USD ",,170USD 
굿필승,,"769,964USD ",,"20,718USD "
퀴클리선,,"597,800USD ",,"238,825USD "
철심장,,"520,234USD ",, 
방탄여걸,,"1,503,825USD ",,"170,757USD "
따뜻한빛,,"389,141USD ",,"39,370USD "
팬시팬츠,,"274,382USD ",,0
팍스나노,,"583,280USD ","54,198,000원",36USD 
머니스톤,,"389,141USD ","43,470,000원", 
승승파워,,"389,141USD ","21,150,000원", 
이스트질주,,"1,810,805USD ","332,982,000원", 
모던알파,,"389,141USD ","155,495,000원", 
카지노스타,,"904,575USD ",,"2,460,500JPY "
볼트맨,,"1,380,200USD ",,"16,249USD "
파인로드,,"623,000USD ",,"52,065USD "
문학선,,"794,855USD ",,385USD 
출세가도,,0AUD ,,"13,300AUD "
원모어카드,,"1,103,496USD ","117,344,000원", 
엑톤질주,,"1,503,825USD ","141,392,000원", 
브이퀸,,"1,810,805USD ",,"6,459USD "
이무기,,"254,672USD ",0원, 
베스트천상,,"1,103,496USD ","116,400,000원", 
실버햄튼,,"1,810,805USD ",,"31,200USD "
아라크투윈,,"905,434USD ","119,331,000원", 
원더풀머스킷,,"1,236,820USD ","136,795,000원", 
영광의행진,,"1,810,805USD ","27,353,000원", 
별빛보석,,"1,779,012USD ","147,070,000원", 
장산클리어,,"2,612,516USD ",,"71,025USD "
투어링라니,,"2,170,340USD ",, 
프린스박,,"769,964USD ",,0
런투골,"471,819,000원", ,"119,616,000원", 
광야의전설,,"1,083,533USD ",,0
바람과함께,,"1,810,805USD ",,0
티나,,"1,083,533USD ",,"5,170USD "
엑설런트캡틴,,"905,434USD ",0원, 
빅리치,,"1,083,533USD ","69,936,000원", 
패밀리캡틴,,"389,141USD ","190,110,000원", 
멜로디킹,,"163,133USD ",0원, 
큐피드불릿,,"568,629,000JPY ","216,600,000원", 
마이더스캠프,,"339,984USD ","115,419,000원", 
화려한강산,,"612,935USD ",0원, 
아이언머스킷,,"1,236,820USD ","4,200,000원", 
일격필살,,"1,037,810USD ",,"33,455USD "
남산시대,,"1,037,810USD ","511,781,000원", 
주말의시작,,"210,553USD ","157,894,000원", 
레드마운틴,,"905,434USD ",,"145,670USD "
비바챔피언,,"1,779,012USD ",,"110,915USD "
플라잉풀문,,"583,280USD ",,"7,966USD "
원더풀원더,"1,861,967,000원", ,"76,876,000원", 
댓츠마이보이,,"51,475USD ",,"3,535USD "
베스트빅뱅,,"1,037,810USD ",,"37,350USD "
금성강자,,"210,553USD ","21,920,000원", 
뉴그랜드,,"1,779,012USD ",,"2,340USD "
퀸즈투어,,"51,475USD ",,"81,528USD "
플라잉인디,,"58,610USD ",0원, 
페페런,,"1,083,533USD ","103,855,000원", 
아이언마스크,,"1,037,810USD ",,"48,935USD "
하니,,"804,090USD ","118,483,000원", 
문학시바,,"4,368,214USD ",, 
문학고스트,,"3,446,120USD ",,"37,784USD "
핑크번개,,"239,229USD ",, 
파노라마칸,,"405,730USD ",, 
파노라마퀸,,"597,800USD ",,"30,009USD "
선녀예찬,,"163,584AUD ",, 
레전드스타,,"1,103,496USD ",,0
골든찬스,,"1,570,380USD ","101,880,000원", 
드림노크,,"1,103,496USD ",,0
하이브,"2,426,805,000원", ,,"7,160USD "
원더풀리버,,"905,434USD ","353,733,000원", 
런던타이거,,"1,810,805USD ","138,640,000원",0
델피니,,"1,037,810USD ",,"8,514USD "
굿퍼지,,"905,434USD ","55,330,000원", 
프로폰도로쏘,,"612,935USD ",0원, 
최강게임,,"905,434USD ",,"164,706USD "
거센불패,,"1,732,780USD ",, 
문학슬루,,"710,480USD ",,"6,400USD "
매직타이드,"824,725,000원", ,"242,767,000원", 
질주본,,"1,083,533USD ",,"94,795USD "
글로벌스톰,,"396,254USD ",,"2,575USD "
명품히어로,,"172,705,000JPY ","262,850,000원", 
티즈파이팅,,"254,672USD ",,"53,832USD "
에이맨,,"480,001USD ",,0
겅호우,,"254,672USD ","90,450,000원", 
이스머스,,"1,037,810USD ","34,768,000원",0RUB 
해피스마티,"603,215,000원", ,,"55,542USD "
라온호크,,"1,083,533USD ",,640USD 
스마티아델,,"1,810,805USD ","72,204,000원", 
원더풀루비,,"416,475,000JPY ",,"25,309USD "
럭키소천,,"51,475USD ",,"29,760USD "
스타리스트,,"3,545,062USD ","38,806,000원",0
베티나,,"210,553USD ",,"1,320USD "
엠제이타운,,"819,668USD ",,"20,390USD "
쏘아라우츠,,"120,176USD ",,"207,440USD "
더조은내일,,"1,732,000USD ","485,085,000원", 
동해실버,,"568,629,000JPY ",,0
스트롱라이트,,"456,410USD ","45,956,000원", 
총알같이,,"396,254USD ","81,118,000원", 
골든웨딩,"451,805,000원", ,,"73,626USD "
라스트잭팟,,"568,086USD ",,0AUD 
바리메캠프,,"339,984USD ","61,748,000원", 
트루팀버,,"7,712,841USD ","296,100,000원", 
스피드흑룡,,"210,553USD ",,"4,005USD "
달려라라온,,"3,084,278USD ",,"1,920USD "
큐피드플라잉,,"51,475USD ","227,208,000원", 
백산아일랜드,,"435,597USD ",,"20,646USD "
스타퍼펙트,,"578,302,000JPY ","142,751,000원", 
승리플러스,,"804,090USD ","180,313,000원", 
파이널캡틴,"451,805,000원", ,,0
문학아리아리,,"1,146,340USD ",,"10,377USD "
대군천하,,"1,878,013USD ",,"29,446USD "
글라디아토레에이,,"1,046,381USD ",,"81,473USD "
원더풀인디언,,"1,182,992USD ",,720USD 
리암스무니,,"135,191USD ",,"84,319USD "
센스쟁이,,"742,640USD ",,"10,490USD "
남촌데이,,"1,706,350USD ",,"32,406USD "
맹주,,"4,383,200USD ",,0USD 
패션피플,,"583,280USD ",,"127,465USD "
아델엔젤,,"492,910USD ",,"22,944USD "
더더비,,"492,430USD ",,"44,820USD "
문학파이어,,"385,807USD ",,0
스피드영웅,,"3,084,278USD ","34,768,000원",0RUB 
천년바이킹,"1,225,505,000원", ,"34,927,000원", 
사이먼프루트,,"274,382USD ",,"16,060USD "
제왕의별,,"1,503,825USD ",,"148,914USD "
해피스트,,"51,475USD ","40,536,000원", 
해피마운틴,,"1,607,774USD ",,"300,820USD "
재롱이,,"4,156,389USD ","29,446,000원", 
스피드청룡,,"1,732,000USD ","28,637,000원",0AUD 
천하형국,,"70,961,000JPY ","44,551,500원", 
여울이,,"3,294,901USD ","15,449,000원",0
희망포인트,,"315,015USD ",,"8,445USD "
어린왕자,,"339,984USD ",,438USD 
메갈리오스,,"1,380,200USD ",,"34,540USD "
삼삼빅토리,,"385,807USD ",,"36,622USD "
하와이보스,,"633,076USD ",,"8,345USD "
킹포세,,"1,423,379USD ",,"65,390USD "
마이비전,,"835,142USD ",,"53,320USD "
왕의대로,,"1,779,012USD ",,"43,148USD "
장산베어스,,"1,146,340USD ",,244USD 
비드타운,,"819,668USD ",,0
핵항공모함,,"1,104,810USD ",,"46,346USD "
본워리어,,"254,672USD ",,"41,885USD "
아르고오섬,,"835,142USD ","113,588,000원", 
우먼볼트,,"727,290USD ",,0AUD 
말리부불패,,"33,840USD ",,"133,683USD "
청담제왕,,"3,090,101USD ",,0
플레이시스투고,,"1,026,229USD ",,"150,550USD "
흥룡,,"811,760USD ",,0
장산제왕,,"399,089USD ",,"8,014USD "
신규강자,,"35,665USD ","145,591,000원", 
다이나믹질주,,"591,225USD ",,"184,175USD "
글로벌뱅크,,"114,300USD ",,"31,200USD "
이광사석,,"185,417USD ","139,414,000원", 
문학프린세스,,"586,515USD ",,"22,269USD "
당대걸작,,"3,084,278USD ",,"30,071USD "
글로벌캡틴,,"742,640USD ",,"81,114USD "
센터폴,,"1,732,000USD ","227,736,000원", 
무도,,"254,672USD ",,"38,880USD "
메니그랜드,,"1,732,000USD ",,"15,820USD "
천년의바람,,"274,382USD ","64,602,000원", 
스피드벨,,"205,617USD ",,"16,285USD "
챔프케이,,"114,300USD ","67,895,000원", 
라비에벨,,"339,984USD ",,0
에이스샤인,,"51,475USD ",,0
피케이군주,,"1,732,000USD ","113,667,000원", 
서던맨,,"1,843,750USD ",,0
모닝별,,"695,299USD ","155,495,000원", 
칸에이스,"451,805,000원", ,"44,749,000원", 
금아인빈서블,,"1,732,000USD ",,0AUD 
킹리,,"172,705,000JPY ",,0
대길이,,"3,545,062USD ",,"181,694USD "
스타삭스,,"1,570,380USD ","137,865,000원", 
신의축복,"1,225,505,000원", ,"45,835,000원", 
대지의축복,,"568,086USD ","21,430,000원", 
통합시대,,"804,090USD ",,"22,580USD "
컨트리송,,"456,410USD ",,0
인디언서머,,"493,755USD ",,800USD 
럭셔리파워,,"568,629,000JPY ","213,750,000원", 
달리는에이스,,"568,086USD ","145,591,000원", 
러브레이스,,"1,732,000USD ",,0
뉴패러다임,,"205,617USD ","59,327,000원", 
속보옹주,,"568,086USD ",,"101,898USD "
프리마니케,,"928,000USD ",,"72,611USD "
