,자식마명,부마원,부마달러,모마원,모마달러
306,['어드밴스'],,"1,694,180USD ",,0 
307,['세명룰즈'],,"3,084,278USD ",,"6,726USD "
308,['대지의여인'],,"274,382USD ",,"17,838USD "
309,['오피서커맨딩'],,"804,090USD ",,0 
310,['장산바다'],,"583,280USD ","58,130,000원", 
311,['사람이라는별'],,"1,570,380USD ",,"68,760USD "
312,['글로벌삭스'],,"742,640USD ",, 
313,['록의제왕'],,"1,031,596USD ",,161USD 
314,['매직페인터'],,"1,101,924USD ",,"94,855USD "
315,['쿠레레쿠스'],,"1,570,380USD ",,0AUD 
316,['베스트포스'],,"1,083,533USD ",,"15,820USD "
317,['로즈데이마린'],,"114,300USD ","99,328,000원", 
318,['폴카'],,"3,084,278USD ",,0 
319,['힐링공주'],,"583,280USD ","215,540,000원", 
320,['튼트나'],,"1,570,380USD ",,"207,047USD "
321,['사려니퀸'],,"612,935USD ","92,494,000원", 
322,['조지퀸'],,"1,236,820USD ",,"120,585USD "
323,['굿바우'],,"491,312USD ",0원, 
324,['커리어하이'],,"1,083,533USD ",,"137,366USD "
325,['그레이스퀸'],,"3,084,278USD ","94,290,000원", 
326,['케이엔파워'],,"583,280USD ",,"222,769USD "
327,['프라임서밋'],,"493,755USD ","240,493,000원", 
328,['막판찬스'],,"114,300USD ",0원, 
329,['거버넌스'],,"1,083,533USD ",,0 
330,['스마트굿'],,"210,553USD ","79,134,000원", 
331,['퍼스트파워'],,"493,755USD ","225,885,000원", 
332,['장산사수대'],,"3,084,278USD ",,"135,262USD "
333,['위즈모멘트'],,"1,732,000USD ",,"17,980USD "
334,['최고캠프'],,"493,755USD ","82,258,000원", 
335,['베스트실버'],,"583,280USD ",,"1,605USD "
336,['위너콰드릴'],,"410,376,000JPY ",, 
337,['디바인파워'],,"612,935USD ","18,080,000원", 
338,['챌린지삭스'],,"583,280USD ",,"281,986USD "
339,['빅포스원'],,"695,299USD ",,"35,680USD "
340,['가나파크'],,"612,935USD ",, 
341,['컴플리트샤인'],,"804,090USD ",,"8,719USD "
342,['포에버원'],,"612,935USD ","23,400,000원", 
343,['스타트매직'],,"190,838USD ",,0 
344,['천지부사'],,"51,475USD ",,0 
345,['서니케이'],,"804,090USD ","152,718,000원", 
346,['그린트리서밋'],,"1,607,774USD ","46,464,000원", 
347,['이스트라이크'],,"1,732,000USD ","358,828,000원", 
348,['에이스스피닝'],,"260,300USD ",,"189,416USD "
349,['포트스원'],,"1,083,533USD ","30,450,000원", 
350,['옥스퍼드킹'],,"1,077,140USD ",,"21,540USD "
351,['블랙참'],,"416,475,000JPY ","648,176,000원", 
352,['황금파워'],,"568,629,000JPY ","104,050,000원", 
353,['나인아이'],,"1,732,000USD ",,"13,507,000JPY "
354,['정문짱'],,"1,810,805USD ",,0 
355,['퀸오브베스트'],,"905,434USD ",0원, 
